config,trial,nodes,coverage_entropy,branching,depth,nodes_per_sim
Baseline,1,229.2,1.1226,4.614,2.754,4.614
Baseline,2,233.0,1.1430,4.646,2.771,4.646
Baseline,3,236.1,1.1699,4.679,2.794,4.679
Baseline,4,231.6,1.1368,4.638,2.767,4.638
Baseline,5,231.1,1.1407,4.643,2.774,4.643
φ-mod,1,223.3,1.2722,4.490,2.658,4.490
φ-mod,2,226.1,1.2890,4.518,2.676,4.518
φ-mod,3,229.4,1.3142,4.544,2.694,4.544
φ-mod,4,224.4,1.2808,4.503,2.670,4.503
φ-mod,5,225.8,1.2948,4.525,2.682,4.525
Scheduler,1,228.9,1.1793,4.597,2.719,4.597
Scheduler,2,231.9,1.2010,4.625,2.736,4.625
Scheduler,3,235.1,1.2259,4.655,2.755,4.655
Scheduler,4,230.4,1.1880,4.615,2.729,4.615
Scheduler,5,229.7,1.2023,4.628,2.741,4.628
Combined,1,225.0,1.1666,4.531,2.726,4.531
Combined,2,228.2,1.1839,4.556,2.743,4.556
Combined,3,231.3,1.2015,4.586,2.760,4.586
Combined,4,226.1,1.1727,4.541,2.732,4.541
Combined,5,228.4,1.1843,4.566,2.759,4.566
